,stn,wban,yearmoda,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxspd,gust,max,min,prcp,sndp,frshtt
0,337610,99999,20160101,14.1,6,11.4,6,1028.9,6,1004.9,6,4.6,6,5.8,6,7.8,999.9,19.0,10.9*,0.03F,0.4,001000
1,337610,99999,20160102,4.1,7,0.4,7,1032.6,7,1008.0,7,7.1,7,8.7,6,11.7,999.9,8.6,-0.4,0.00F,999.9,001000
2,337610,99999,20160103,0.1,7,-3.2,7,1029.2,7,1004.4,7,7.6,7,999.9,0,999.9,999.9,6.4,-4.4,0.00E,1.2,000000
3,337610,99999,20160104,2.3,8,-1.1,8,1017.0,8,993.6,7,8.6,8,4.3,5,5.8,999.9,10.0*,-9.6,0.00I,1.2,000000
4,337610,99999,20160105,16.3,7,14.9,7,1007.4,7,984.0,7,2.0,7,5.3,7,9.7,999.9,20.3,8.2,0.51F,2.0,001000
5,337610,99999,20160106,20.4,8,20.1,8,1012.2,8,988.8,8,0.8,8,2.2,7,3.9,999.9,22.5,18.1,0.00I,5.1,100000
6,337610,99999,20160107,24.7,7,24.3,7,999.1,7,976.3,7,1.3,7,8.0,7,15.5,999.9,27.1,21.0,0.35F,5.1,111000
7,337610,99999,20160108,23.7,6,21.8,6,1001.6,6,978.7,6,4.1,6,4.2,6,7.8,999.9,25.9,21.7*,0.17F,999.9,011000
8,337610,99999,20160109,27.5,8,21.2,8,1012.0,8,989.1,8,9.9,8,3.6,7,3.9,999.9,35.2,22.1,0.00I,999.9,000000
9,337610,99999,20160110,25.8,7,24.5,7,1012.3,7,989.3,7,3.4,7,5.2,6,9.7,999.9,32.4,18.3,0.16E,6.3,011000
10,337610,99999,20160111,31.5,7,31.4,7,1007.1,7,984.4,7,0.5,7,3.9,4,5.8,999.9,33.3,30.6*,0.20E,5.9,110000
11,337610,99999,20160112,35.1,7,34.3,7,997.3,6,975.0,6,1.1,7,6.1,7,7.8,999.9,39.7,30.6,0.08E,5.5,100000
12,337610,99999,20160113,35.3,8,30.4,8,1004.5,8,982.1,8,7.9,8,3.6,8,5.8,999.9,40.1,32.7*,0.00I,4.3,000000
13,337610,99999,20160114,31.8,8,27.5,8,1013.1,8,990.3,8,8.9,8,2.5,7,3.9,999.9,38.3,28.2*,0.00I,3.9,000000
14,337610,99999,20160115,27.5,8,23.7,8,1016.7,8,993.6,8,7.8,8,5.8,8,11.7,999.9,34.3*,19.2,99.99,3.9,010000
15,337610,99999,20160116,33.4,7,29.1,7,1009.1,7,986.5,7,9.2,7,4.7,7,9.7,999.9,36.0,29.1*,0.16E,3.1,110000
16,337610,99999,20160117,21.9,7,15.9,7,1010.9,7,987.7,7,7.5,7,15.0,7,19.4,999.9,27.9*,17.4*,0.04E,3.1,001000
17,337610,99999,20160118,18.1,6,12.1,6,1007.9,6,984.6,6,1.4,6,16.2,6,21.4,999.9,19.2*,17.4,0.16F,3.9,001000
18,337610,99999,20160119,19.5,8,12.2,8,1014.0,8,990.5,8,12.4,8,6.3,8,9.7,999.9,24.3,17.1,0.00I,6.7,000000
19,337610,99999,20160120,17.5,8,9.0,8,1021.6,8,997.9,8,12.4,8,2.5,7,3.9,999.9,26.6,12.6,0.00I,6.7,000000
20,337610,99999,20160121,16.0,8,10.2,8,1021.2,8,997.4,8,12.4,8,2.3,6,3.9,999.9,25.7,10.4,0.00I,6.7,000000
21,337610,99999,20160122,15.5,7,10.7,7,1029.0,7,1005.1,7,8.3,7,3.6,7,5.8,999.9,21.2,9.1*,99.99,6.7,001000
22,337610,99999,20160123,14.4,7,10.9,7,1033.7,7,1009.6,7,4.7,7,999.9,0,999.9,999.9,20.7,5.9,0.00F,6.7,001000
23,337610,99999,20160124,10.9,7,7.4,7,1035.1,7,1010.7,7,9.7,7,2.4,4,3.9,999.9,16.7,4.3*,0.00F,6.7,001000
24,337610,99999,20160125,11.7,7,10.3,7,1028.8,7,1004.6,7,3.8,7,5.2,6,9.7,999.9,22.1*,3.2,0.04E,6.7,001000
25,337610,99999,20160126,20.7,7,19.2,7,1027.1,7,1003.4,7,3.4,7,5.5,6,9.7,999.9,24.8*,18.1*,0.20E,8.7,001000
26,337610,99999,20160127,28.1,8,26.7,8,1022.3,8,999.2,8,2.5,8,4.6,8,5.8,999.9,36.7*,18.0,0.04E,8.7,100000
27,337610,99999,20160128,39.4,8,34.6,8,1018.5,8,996.0,8,9.0,8,4.6,8,5.8,999.9,43.2,34.5,0.00I,7.1,000000
28,337610,99999,20160129,36.3,8,30.8,8,1025.2,8,1002.3,8,10.9,8,4.1,8,5.8,999.9,38.8,33.8*,0.00I,3.9,000000
29,337610,99999,20160130,32.8,8,30.9,8,1026.3,8,1003.3,8,4.4,8,6.6,8,13.6,999.9,40.5,28.0,0.00I,3.9,100000
30,337610,99999,20160131,35.2,8,33.3,8,1012.3,8,989.7,8,2.6,8,8.0,8,11.7,999.9,41.4,32.0,0.00I,3.1,100000
31,337610,99999,20160201,35.3,8,27.8,8,1014.8,8,992.1,8,10.9,8,4.4,8,5.8,999.9,41.9,31.8,0.00I,2.8,000000
32,337610,99999,20160202,36.0,8,32.9,8,1019.2,8,996.5,8,7.9,8,5.8,8,13.6,999.9,39.6,30.6,0.00E,2.0,000000
33,337610,99999,20160203,40.3,8,36.8,8,1013.2,8,990.8,8,6.5,8,3.1,7,5.8,999.9,46.6,35.6,0.00I,1.6,000000
34,337610,99999,20160204,34.0,6,32.8,6,1012.9,6,990.2,6,2.7,6,5.5,6,9.7,999.9,36.0*,32.5*,0.06F,0.8,010000
35,337610,99999,20160205,32.3,8,28.5,8,1020.2,8,997.3,8,7.8,8,2.2,7,3.9,999.9,36.9,29.3,0.00I,0.8,000000
36,337610,99999,20160206,32.3,8,20.7,8,1026.9,8,1003.8,8,12.4,8,4.2,7,5.8,999.9,34.9,30.9,0.00I,0.4,000000
37,337610,99999,20160207,29.7,8,22.4,8,1029.3,8,1006.1,8,10.4,8,6.5,6,7.8,999.9,35.8,23.0,0.00I,0.4,000000
38,337610,99999,20160208,31.4,8,28.0,8,1026.3,8,1003.2,8,6.5,8,9.5,8,11.7,999.9,37.8,27.3,0.00I,0.4,000000
39,337610,99999,20160209,36.1,8,32.9,8,1019.6,8,996.9,8,7.5,8,9.2,8,11.7,999.9,40.6,30.2,0.00I,0.4,000000
40,337610,99999,20160210,39.6,8,38.1,8,1009.5,8,987.1,8,3.2,8,13.6,8,15.5,999.9,42.8,36.1,0.00I,999.9,100000
41,337610,99999,20160211,38.2,6,35.8,6,1003.5,6,981.2,6,5.0,6,6.8,6,11.7,999.9,43.9,32.5*,0.39F,999.9,010000
42,337610,99999,20160212,37.0,8,30.5,8,1013.9,8,991.3,8,10.4,8,4.2,7,5.8,999.9,45.7,29.1,0.00I,999.9,000000
43,337610,99999,20160213,35.1,8,34.4,8,1009.0,8,986.4,8,2.4,8,7.8,8,11.7,999.9,37.8,30.7,99.99,999.9,110000
44,337610,99999,20160214,45.0,6,39.1,6,1000.5,6,978.6,6,8.3,6,6.8,6,11.7,999.9,53.8,36.0,0.59F,999.9,010000
45,337610,99999,20160215,42.5,7,41.7,7,1011.4,7,989.2,7,1.9,7,7.2,7,9.7,999.9,51.1,34.7,0.00I,999.9,100000
46,337610,99999,20160216,47.4,8,43.7,8,1024.2,8,1001.8,8,5.7,8,5.6,8,9.7,999.9,54.1,42.3*,0.00E,999.9,010000
47,337610,99999,20160217,38.9,7,34.1,7,1036.2,7,1013.2,7,9.5,7,6.7,7,9.7,999.9,45.0,32.4*,0.00E,999.9,000000
48,337610,99999,20160218,32.7,6,23.1,6,1033.5,6,1010.3,6,12.4,6,5.5,6,7.8,999.9,39.7*,28.8,0.00I,999.9,000000
49,337610,99999,20160219,32.9,8,22.4,8,1023.7,8,1000.7,8,10.9,8,5.8,8,7.8,999.9,39.9,28.4,0.00I,999.9,000000
50,337610,99999,20160220,29.2,8,24.0,8,1024.5,8,1001.3,8,7.6,8,5.3,8,9.7,999.9,31.6,27.7,99.99,999.9,001000
51,337610,99999,20160221,30.9,7,27.5,7,1016.8,7,993.9,7,7.3,7,5.5,7,7.8,999.9,34.2,25.5,0.04E,0.8,001000
52,337610,99999,20160222,45.2,8,37.8,8,1010.1,8,988.0,8,8.8,8,9.0,8,13.6,999.9,58.8,32.0,0.00I,999.9,000000
53,337610,99999,20160223,48.0,8,42.2,8,1008.8,8,986.8,8,9.2,8,4.1,8,5.8,999.9,57.6,39.9,99.99,999.9,010000
54,337610,99999,20160224,46.7,7,42.5,7,1006.4,7,984.4,7,6.7,7,5.5,6,11.7,999.9,57.9,36.3*,0.28F,999.9,000010
55,337610,99999,20160225,38.0,8,27.3,8,1016.5,8,993.9,8,10.2,8,5.1,8,7.8,999.9,46.0,32.4,0.00I,999.9,000000
56,337610,99999,20160226,39.7,8,35.3,8,1014.2,8,991.8,8,7.9,8,8.3,8,11.7,999.9,45.5,34.9,0.00E,999.9,010000
57,337610,99999,20160227,37.1,7,34.4,7,1019.3,7,996.6,7,5.0,7,6.9,7,9.7,999.9,40.3*,33.4*,0.04E,999.9,010000
58,337610,99999,20160228,38.8,8,34.7,8,1027.0,8,1004.3,8,8.9,8,4.9,8,7.8,999.9,44.4,31.6,0.00I,999.9,000000
59,337610,99999,20160229,42.7,7,41.0,7,1024.4,7,1001.9,7,4.0,7,10.5,7,13.6,999.9,45.1,40.1,0.00E,999.9,010000
60,337610,99999,20160301,45.7,6,44.1,5,1011.6,6,989.5,6,3.1,6,7.8,6,11.7,999.9,51.3,41.9,0.00F,999.9,100000
61,337610,99999,20160302,43.5,7,39.6,7,1008.4,7,986.2,7,5.0,7,3.3,7,5.8,999.9,54.9,37.8*,0.00I,999.9,100000
62,337610,99999,20160303,40.2,8,35.0,8,1006.5,8,984.3,8,7.0,8,7.8,8,13.6,999.9,48.2*,32.0,99.99,999.9,010000
63,337610,99999,20160304,36.5,6,35.2,6,1002.7,6,980.4,6,2.7,6,6.8,6,9.7,999.9,37.4,36.0*,0.37F,999.9,010000
64,337610,99999,20160305,36.4,8,33.1,8,1009.9,8,987.4,8,7.8,8,4.5,6,5.8,999.9,41.5*,33.8,0.00I,999.9,000000
65,337610,99999,20160306,38.1,8,36.9,8,1012.8,8,990.3,8,3.2,8,8.7,8,11.7,999.9,46.4,31.1,0.00I,999.9,100000
66,337610,99999,20160307,46.8,8,40.7,8,1011.9,8,989.9,8,6.8,8,11.9,8,15.5,999.9,59.2,38.5,0.00I,999.9,000000
67,337610,99999,20160308,47.8,8,37.9,8,1012.8,8,990.7,8,8.0,8,9.7,8,15.5,999.9,59.7,38.7,0.00I,999.9,000000
68,337610,99999,20160309,47.5,8,40.8,8,1015.5,8,993.4,8,6.9,8,4.6,8,5.8,999.9,58.1,40.1,0.00I,999.9,100000
69,337610,99999,20160310,47.9,8,34.9,8,1015.6,8,993.5,8,11.7,8,9.5,8,15.5,999.9,59.0,39.6,0.00I,999.9,000000
70,337610,99999,20160311,41.2,7,37.1,7,1019.7,7,997.2,7,6.4,7,6.7,7,9.7,999.9,44.6,39.9,0.01F,999.9,010000
71,337610,99999,20160312,42.5,6,39.3,6,1023.4,6,1000.9,6,6.9,6,2.9,6,3.9,999.9,46.9,38.8,0.04F,999.9,010000
72,337610,99999,20160313,39.7,7,34.4,7,1023.5,7,1000.8,7,8.3,7,7.5,7,15.5,999.9,51.3,35.4*,0.01F,999.9,010000
73,337610,99999,20160314,35.6,8,22.3,8,1022.1,8,999.2,8,12.4,8,11.9,8,19.4,999.9,42.6,32.9,0.00I,999.9,000000
74,337610,99999,20160315,32.9,7,21.9,7,1024.0,7,1001.0,7,12.4,7,5.8,7,9.7,999.9,39.2,31.3,0.00E,999.9,011000
75,337610,99999,20160316,35.6,8,19.5,8,1028.3,8,1005.3,8,12.4,8,6.1,8,7.8,999.9,46.6,27.3,0.00I,999.9,000000
76,337610,99999,20160317,38.8,8,28.6,8,1020.2,8,997.6,8,12.4,8,7.0,8,9.7,999.9,50.4,32.0,0.00I,999.9,000000
77,337610,99999,20160318,46.7,8,31.3,8,1008.0,8,986.0,8,12.4,8,7.8,8,11.7,999.9,54.7,41.4,0.00I,999.9,000000
78,337610,99999,20160319,32.2,7,19.1,7,1010.5,7,987.7,7,12.4,7,10.0,7,17.5,999.9,40.6*,25.7*,0.00E,999.9,001000
79,337610,99999,20160320,37.1,8,17.8,8,1013.3,8,990.7,8,12.4,8,8.0,8,11.7,999.9,48.7,23.4,0.00I,999.9,000000
80,337610,99999,20160321,41.3,8,27.2,8,1011.7,8,989.3,8,12.4,8,4.9,8,7.8,999.9,47.8,32.7*,0.00I,999.9,000000
81,337610,99999,20160322,38.6,7,30.9,7,1008.5,7,986.2,7,9.7,7,3.6,7,7.8,999.9,52.5,29.3,0.00E,999.9,000000
82,337610,99999,20160323,41.4,6,31.6,6,1008.3,6,986.0,6,9.1,6,3.9,6,3.9,999.9,49.1,30.6,0.00I,999.9,000000
83,337610,99999,20160324,34.8,6,32.8,6,1000.9,5,978.5,5,4.1,6,14.2,6,15.5,999.9,37.4,32.0,0.83F,1.6,011000
84,337610,99999,20160325,34.2,8,26.5,8,1011.7,8,989.0,8,11.7,8,7.5,8,11.7,999.9,38.5,31.5,0.00I,999.9,000000
85,337610,99999,20160326,34.6,7,30.6,7,1016.0,7,993.3,7,5.7,7,4.7,7,9.7,999.9,42.6,30.6,0.06F,0.4,001000
86,337610,99999,20160327,38.5,8,26.4,8,1017.3,8,994.7,8,10.9,8,3.4,8,7.8,999.9,50.4,27.1,0.00I,999.9,000000
87,337610,99999,20160328,42.2,8,21.6,8,1014.1,8,991.7,8,12.4,8,5.8,6,11.7,999.9,54.0,31.1,0.00I,999.9,000000
88,337610,99999,20160329,46.8,8,23.9,8,1012.9,8,990.7,8,12.4,8,3.9,8,7.8,999.9,58.8,30.2,0.00I,999.9,000000
89,337610,99999,20160330,46.6,7,34.9,7,1017.7,7,995.5,7,10.1,7,5.0,7,5.8,999.9,59.4,40.1,0.01F,999.9,010000
90,337610,99999,20160331,54.7,8,42.3,8,1016.4,8,994.5,8,11.2,8,5.6,8,7.8,999.9,69.1,41.7,0.04E,999.9,010000
91,337610,99999,20160401,59.8,8,41.4,8,1009.6,8,988.1,8,10.4,8,7.8,8,13.6,999.9,75.9,43.3,0.00I,999.9,000000
92,337610,99999,20160402,41.7,6,27.9,6,1021.3,6,998.7,6,10.8,6,8.4,6,11.7,999.9,45.7*,36.7,0.02E,999.9,000000
93,337610,99999,20160403,45.2,8,22.7,8,1024.0,8,1001.5,8,12.4,8,4.4,7,7.8,999.9,57.7,31.1,0.00I,999.9,000000
94,337610,99999,20160404,49.5,8,31.5,8,1017.0,8,994.9,8,12.4,8,6.3,8,7.8,999.9,63.3,37.6,0.00I,999.9,000000
95,337610,99999,20160405,49.0,8,39.5,8,1013.8,8,991.7,8,8.9,8,7.0,8,9.7,999.9,65.7,38.1,0.00I,999.9,100000
96,337610,99999,20160406,52.0,8,40.9,8,1011.8,8,989.9,8,8.2,8,5.8,8,7.8,999.9,66.0,41.7,0.00E,999.9,000000
97,337610,99999,20160407,52.4,7,44.7,7,1013.3,7,991.5,7,7.5,7,3.9,7,7.8,999.9,72.3,40.3,0.00I,999.9,100000
98,337610,99999,20160408,57.1,8,40.5,8,1012.3,8,990.7,8,8.9,8,4.6,8,9.7,999.9,75.2,42.4,0.00I,999.9,100000
99,337610,99999,20160409,61.0,8,41.6,8,1005.0,8,983.6,8,12.4,8,6.3,8,11.7,999.9,74.7,52.0,0.00I,999.9,000000
100,337610,99999,20160410,58.4,8,44.4,8,1002.9,8,981.5,8,12.4,8,4.4,7,7.8,999.9,68.0,46.9,0.00I,999.9,000000
101,337610,99999,20160411,54.3,7,51.1,7,1006.8,7,985.2,7,4.4,7,4.7,7,5.8,999.9,59.0,51.8,0.00E,999.9,000000
102,337610,99999,20160412,56.6,8,50.4,8,1010.4,8,988.8,8,6.6,8,3.3,7,5.8,999.9,70.7,47.1,0.00I,999.9,100000
103,337610,99999,20160413,55.0,7,51.3,7,1008.4,7,986.8,7,5.5,7,3.1,7,3.9,999.9,68.7,48.7,0.08E,999.9,010010
104,337610,99999,20160414,60.7,8,50.6,8,1003.3,8,982.0,8,9.6,8,6.3,8,9.7,999.9,70.7,49.1,0.00I,999.9,000000
105,337610,99999,20160415,47.6,6,45.2,6,1004.8,6,982.9,6,4.6,6,4.5,6,9.7,999.9,52.5*,40.3*,1.42F,999.9,010000
106,337610,99999,20160416,54.5,8,43.0,8,1015.0,8,993.2,8,10.9,8,6.6,8,9.7,999.9,67.6,39.2,0.00I,999.9,000000
107,337610,99999,20160417,62.0,8,50.7,8,1012.9,8,991.5,8,9.1,8,6.1,8,9.7,999.9,76.8,47.7,0.00I,999.9,000000
108,337610,99999,20160418,69.9,8,50.4,8,1011.9,8,990.8,8,12.4,8,4.9,8,7.8,999.9,83.3,59.7,0.00I,999.9,000000
109,337610,99999,20160419,57.6,7,49.9,7,1015.5,7,993.9,7,9.8,7,5.0,7,7.8,999.9,62.6,54.5*,0.08F,999.9,010000
110,337610,99999,20160420,48.1,6,39.2,6,1014.5,6,992.4,6,7.7,6,5.8,6,7.8,999.9,52.7*,45.3*,0.20F,999.9,010000
111,337610,99999,20160421,44.4,8,31.3,8,1019.5,8,997.1,8,12.4,8,5.8,7,9.7,999.9,53.2,38.3*,0.00I,999.9,000000
112,337610,99999,20160422,53.8,8,33.8,8,1014.3,8,992.4,8,12.4,8,7.3,8,11.7,999.9,66.4,37.2,0.00I,999.9,000000
113,337610,99999,20160423,52.8,8,36.2,8,1011.1,8,989.3,8,12.4,8,5.1,8,7.8,999.9,62.6,43.2,0.00I,999.9,000000
114,337610,99999,20160424,54.2,8,41.1,8,1003.0,8,981.4,8,10.6,8,4.1,8,5.8,999.9,67.1,39.2,0.00I,999.9,000000
115,337610,99999,20160425,51.7,7,45.5,7,998.4,7,976.8,7,8.3,7,3.6,6,7.8,999.9,59.5,43.3,0.04E,999.9,010000
116,337610,99999,20160426,47.9,8,43.3,8,1003.3,8,981.5,8,9.0,8,4.1,8,7.8,999.9,51.6*,45.1*,0.04E,999.9,010000
117,337610,99999,20160427,51.3,8,36.3,8,1011.3,8,989.4,8,11.7,8,6.1,8,13.6,999.9,61.7,42.1,0.00I,999.9,000000
118,337610,99999,20160428,55.8,8,37.1,8,1015.6,8,993.8,8,12.4,8,3.4,8,3.9,999.9,68.9,41.0,0.00I,999.9,000000
119,337610,99999,20160429,58.1,8,43.9,8,1019.6,8,997.9,8,9.8,8,3.3,7,5.8,999.9,70.2,41.9,0.00I,999.9,000000
120,337610,99999,20160430,60.7,8,39.9,8,1019.1,8,997.4,8,11.8,8,3.6,8,5.8,999.9,71.8,47.7,0.00I,999.9,000000
